Offense,	Team,	POS,	Fan Pts,	PassYds,	PassTD,	PassInt,	Sack,	Pick Six,	RushAtt,	RushYds,	RushTD,	RecYds,	RecTD,	RecTgt,	RetTD,	2PT,	FumTot,	FumLost,,,,
Josh Allen,Buf,QB,437.64,31,31,4306,29,18,24,0,111,524,15,0,0,0,0,0,3,7,4,
CeeDee Lamb,Dal,WR,400.20,2,2,0,0,0,0,0,14,113,2,135,1749,12,181,0,1,3,2,
Christian McCaffrey,SF,RB,388.30,1,1,0,0,0,0,0,272,1459,14,67,564,7,83,0,0,3,2,
Dak Prescott,Dal,QB,380.84,70,70,4516,36,9,39,0,55,242,2,0,0,0,0,0,2,4,2,
Tyreek Hill,Mia,WR,375.40,3,3,0,0,0,0,0,6,15,0,119,1799,13,171,0,0,1,1,
Jalen Hurts,Phi,QB,372.82,37,37,3858,23,15,36,0,157,605,15,0,0,0,0,0,9,5,3,
Jordan Love,GB,QB,355.06,72,72,4159,32,11,30,0,50,247,4,0,0,0,0,0,2,9,3,
Lamar Jackson,Bal,QB,338.22,39,39,3678,24,7,37,0,148,821,5,0,0,0,0,0,1,11,6,
Brock Purdy,SF,QB,334.60,85,85,4280,31,11,28,0,39,144,2,0,0,0,0,0,6,2,1,
Amon-Ra St Brown,Det,WR,328.90,8,8,0,0,0,1,0,4,24,0,119,1515,10,164,0,0,1,1,
Jared Goff,Det,QB,325.10,93,93,4575,30,12,30,0,32,21,2,0,0,0,0,0,2,6,4,
Patrick Mahomes,KC,QB,316.22,40,40,4183,27,14,27,0,75,389,0,0,0,0,0,0,5,3,0,
Tua Tagovailoa,Mia,QB,300.36,103,103,4624,29,14,29,0,35,74,0,0,0,0,0,0,13,5,0,
Puka Nacua,LAR,WR,297.50,13,13,0,0,0,0,0,12,89,0,105,1486,6,160,0,0,1,0,
Baker Mayfield,TB,QB,292.06,153,153,4044,28,10,40,0,62,163,1,0,0,0,0,0,2,8,3,
Breece Hall,NYJ,RB,288.50,4,4,0,0,0,0,0,223,994,5,76,591,4,95,0,1,2,0,
AJ Brown,Phi,WR,287.60,9,9,0,0,0,0,0,0,0,0,106,1456,7,158,0,0,2,2,
DJ Moore,Chi,WR,285.50,32,32,0,0,0,0,0,4,21,1,96,1364,8,136,0,0,1,1,
Mike Evans,TB,WR,282.50,20,20,0,0,0,0,0,0,0,0,79,1255,13,136,0,0,0,0,
Travis Etienne Jr,Jax,RB,282.40,21,21,0,0,0,0,0,267,1008,11,58,476,1,73,0,2,0,0,
CJ Stroud,Hou,QB,281.02,51,51,4108,23,5,38,0,39,167,3,0,0,0,0,0,1,8,4,
Keenan Allen,Chi,WR,278.86,74,74,0,0,0,0,0,2,6,0,108,1243,7,150,0,0,2,1,
Matthew Stafford,LAR,QB,272.10,128,128,3965,24,11,30,0,21,65,0,0,0,0,0,0,2,0,0,
Stefon Diggs,Hou,WR,271.80,46,46,0,0,0,0,0,1,5,0,107,1183,8,160,0,1,2,1,
Trevor Lawrence,Jax,QB,271.54,118,118,4016,21,14,35,0,70,339,4,0,0,0,0,0,1,12,7,
Joe Mixon,Hou,RB,267.00,41,41,0,0,0,0,0,257,1034,9,52,376,3,64,0,1,0,0,
Davante Adams,LV,WR,265.40,19,19,0,0,0,0,0,0,0,0,103,1144,8,175,0,0,0,0,
Rachaad White,TB,RB,264.90,42,42,0,0,0,0,0,272,990,6,64,549,3,70,0,0,3,2,
Raheem Mostert,Mia,RB,263.70,65,65,0,0,0,0,0,209,1012,18,25,175,3,32,0,0,4,1,
